real_1,est_1,real_2,est_2,real_1∪2,est_1∪2,real_1∩2,est_1∩2,real_jaccard,est_jaccard,jaccard_error
250150, 249998, 250150, 250341, 500000, 500065, 300, 287, 6.0E-4, 5.753920982482008E-4,4.101316958633193
250150, 250000, 250150, 250343, 500000, 500071, 300, 292, 6.0E-4, 5.843760324913074E-4,2.603994584782084
250150, 249995, 250150, 250346, 500000, 500069, 300, 300, 6.0E-4, 6.001119309893755E-4,-0.01865516489592614
250150, 249982, 250150, 250335, 500000, 500041, 300, 288, 6.0E-4, 5.776643927218782E-4,3.722601213020289
250175, 250014, 250175, 250362, 500000, 500071, 350, 356, 7.0E-4, 7.124892396144017E-4,-1.7841770877716783
250175, 250013, 250175, 250353, 500000, 500052, 350, 343, 7.0E-4, 6.877888263535504E-4,1.7444533780642253
250175, 250024, 250175, 250374, 500000, 500085, 350, 356, 7.0E-4, 7.124716247499606E-4,-1.7816606785658073
250175, 250018, 250175, 250365, 500000, 500072, 350, 349, 7.0E-4, 6.990020677874674E-4,0.1425617446475174
250200, 250034, 250200, 250389, 500000, 500061, 400, 394, 8.0E-4, 7.889218293096822E-4,1.3847713362897336
250175, 250025, 250175, 250344, 500000, 500055, 350, 342, 7.0E-4, 6.855380687156388E-4,2.065990183480166
